Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Lexus Style Body Kit for Toyota Innova",,,"Lexus Style Body Kit for Toyota Innova",,62720,To verify,
"Lexus Style Body Kit for Toyota Innova",,,"Lexus Style Body Kit for Toyota Innova",,62720,To verify,
"Lumma Body Kit for Land Rover Defender 110",,,"Lumma Body Kit for Land Rover Defender 110",,178000,To verify,
"Lumma Body Kit for Land Rover Defender 110",,,"Lumma Body Kit for Land Rover Defender 110",,178000,To verify,
"Mercedes Benz CLA 200- 2019 | AMG Body Kit",,,"Mercedes Benz CLA 200- 2019 | AMG Body Kit",,153600,To verify,
"Mercedes Benz CLA 200- 2019 | AMG Body Kit",,,"Mercedes Benz CLA 200- 2019 | AMG Body Kit",,153600,To verify,
"Mercedes Benz CLA W117 AMG Body Kit",,,"Mercedes Benz CLA W117 AMG Body Kit",,160000,To verify,
"Mercedes Benz CLA W117 AMG Body Kit",,,"Mercedes Benz CLA W117 AMG Body Kit",,160000,To verify,
"Mercedes Benz E class 2012-15 (W212 facelift) upgrade to 2023-24 E63 AMG kit (W213)",,,"Mercedes Benz E class 2012-15 (W212 facelift) upgrade to 2023-24 E63 AMG kit (W213)",,295000,To verify,
"Mercedes Benz E class 2012-15 (W212 facelift) upgrade to 2023-24 E63 AMG kit (W213)",,,"Mercedes Benz E class 2012-15 (W212 facelift) upgrade to 2023-24 E63 AMG kit (W213)",,295000,To verify,
"Mercedes Benz W176 A-class Body Kit",,,"Mercedes Benz W176 A-class Body Kit",,172800,To verify,
"Mercedes Benz W176 A-class Body Kit",,,"Mercedes Benz W176 A-class Body Kit",,172800,To verify,
"Mercedes Benz W221 S Class to Maybach Kit W223",,,"Mercedes Benz W221 S Class to Maybach Kit W223",,614400,To verify,
"Mercedes Benz W221 S Class to Maybach Kit W223",,,"Mercedes Benz W221 S Class to Maybach Kit W223",,614400,To verify,
"Mercedes-Benz E-Class W212 (2009–2013) to 2023 AMG Body Kit",,,"Mercedes-Benz E-Class W212 (2009–2013) to 2023 AMG Body Kit",,416000,To verify,
"Mercedes-Benz E-Class W212 (2009–2013) to 2023 AMG Body Kit",,,"Mercedes-Benz E-Class W212 (2009–2013) to 2023 AMG Body Kit",,416000,To verify,
"Polo Old Model to 2020 GTI Upgrade Kit – ABS Material with Fog Lamps",,,"Polo Old Model to 2020 GTI Upgrade Kit – ABS Material with Fog Lamps",,36800,To verify,
"Polo Old Model to 2020 GTI Upgrade Kit – ABS Material with Fog Lamps",,,"Polo Old Model to 2020 GTI Upgrade Kit – ABS Material with Fog Lamps",,36800,To verify,
"Profender 2-Inch Lift Kit with Shocks for Isuzu – Off-Road Ready!",,,"Profender 2-Inch Lift Kit with Shocks for Isuzu – Off-Road Ready!",,69000,To verify,
"Profender 2-Inch Lift Kit with Shocks for Isuzu – Off-Road Ready!",,,"Profender 2-Inch Lift Kit with Shocks for Isuzu – Off-Road Ready!",,69000,To verify,
"Proman 2 inch front  Leveling Kit for Isuzu Dmax",,,"Proman 2 inch front  Leveling Kit for Isuzu Dmax",,12900,To verify,
"Proman 2 inch front  Leveling Kit for Isuzu Dmax",,,"Proman 2 inch front  Leveling Kit for Isuzu Dmax",,12900,To verify,
"Proman 2-Inch Front Leveling Kit for Toyota Hilux",,,"Proman 2-Inch Front Leveling Kit for Toyota Hilux",,12900,To verify,
"Proman 2-Inch Front Leveling Kit for Toyota Hilux",,,"Proman 2-Inch Front Leveling Kit for Toyota Hilux",,12900,To verify,
"Toyota Fortuner 2012 TRD Grill",,,"Toyota Fortuner 2012 TRD Grill",,15232,To verify,
"Toyota Fortuner 2012 TRD Grill",,,"Toyota Fortuner 2012 TRD Grill",,15232,To verify,
"Toyota Fortuner Type 2 TRD skirting kit V1",,,"Toyota Fortuner Type 2 TRD skirting kit V1",,26624,To verify,
"Toyota Fortuner Type 2 TRD skirting kit V1",,,"Toyota Fortuner Type 2 TRD skirting kit V1",,26624,To verify,
"Toyota Fortuner Type 2 TRD skirting kit V2",,,"Toyota Fortuner Type 2 TRD skirting kit V2",,26624,To verify,
"Toyota Fortuner Type 2 TRD skirting kit V2",,,"Toyota Fortuner Type 2 TRD skirting kit V2",,26624,To verify,
"Toyota Fortuner Type 3 To Sigma Conversion Kit",,,"Toyota Fortuner Type 3 To Sigma Conversion Kit",,124160,To verify,
"Toyota Fortuner Type 3 To Sigma Conversion Kit",,,"Toyota Fortuner Type 3 To Sigma Conversion Kit",,124160,To verify,
"Toyota Fortuner Type 4 to Lexus Conversion Kit",,,"Toyota Fortuner Type 4 to Lexus Conversion Kit",,111360,To verify,
"Toyota Fortuner Type 4 to Lexus Conversion Kit",,,"Toyota Fortuner Type 4 to Lexus Conversion Kit",,111360,To verify,
"Toyota Hilux GR sport Kit Full Bundle",,,"Toyota Hilux GR sport Kit Full Bundle",,168999,To verify,
"Toyota Hilux GR sport Kit Full Bundle",,,"Toyota Hilux GR sport Kit Full Bundle",,168999,To verify,
"Toyota Hilux Matte Black Combo Kit (Set Of 7 Items)",,,"Toyota Hilux Matte Black Combo Kit (Set Of 7 Items)",,15349,To verify,
"Toyota Hilux Matte Black Combo Kit (Set Of 7 Items)",,,"Toyota Hilux Matte Black Combo Kit (Set Of 7 Items)",,15349,To verify,
"Toyota Hilux Revo To Rocco body kit",,,"Toyota Hilux Revo To Rocco body kit",,67000,To verify,
"Toyota Hilux Revo To Rocco body kit",,,"Toyota Hilux Revo To Rocco body kit",,67000,To verify,
"Toyota Hilux Tundra Kit",,,"Toyota Hilux Tundra Kit",,112640,To verify,
"Toyota Hilux Tundra Kit",,,"Toyota Hilux Tundra Kit",,112640,To verify,
"Toyota Hilux Tundra Kit Full Upgrade Bundle",,,"Toyota Hilux Tundra Kit Full Upgrade Bundle",,164999,To verify,
"Toyota Hilux Tundra Kit Full Upgrade Bundle",,,"Toyota Hilux Tundra Kit Full Upgrade Bundle",,164999,To verify,
"Toyota Innova type 1, type 2 to type 4 conversion kit",,,"Toyota Innova type 1, type 2 to type 4 conversion kit",,66000,To verify,
"Toyota Innova type 1, type 2 to type 4 conversion kit",,,"Toyota Innova type 1, type 2 to type 4 conversion kit",,66000,To verify,
"Toyota Legender To GR Body Kit",,,"Toyota Legender To GR Body Kit",,97000,To verify,
"Toyota Legender To GR Body Kit",,,"Toyota Legender To GR Body Kit",,97000,To verify,
"Universal front splitter set of 4",,,"Universal front splitter set of 4",,3500,To verify,
"Universal front splitter set of 4",,,"Universal front splitter set of 4",,3500,To verify,
"Urban sports skirting kit with DRL for Hilux",,,"Urban sports skirting kit with DRL for Hilux",,20000,To verify,
"Urban sports skirting kit with DRL for Hilux",,,"Urban sports skirting kit with DRL for Hilux",,20000,To verify,
"bodykit for Porsche Macan 2014 - 2017 upgrade to 2018+ facelift",,,"bodykit for Porsche Macan 2014 - 2017 upgrade to 2018+ facelift",,485700,To verify,
"bodykit for Porsche Macan 2014 - 2017 upgrade to 2018+ facelift",,,"bodykit for Porsche Macan 2014 - 2017 upgrade to 2018+ facelift",,485700,To verify,
"ironman Spare Tire Relocation Kit Suited for Jeep Wrangler JL/JLU",,,"ironman Spare Tire Relocation Kit Suited for Jeep Wrangler JL/JLU",,36411,To verify,
"ironman Spare Tire Relocation Kit Suited for Jeep Wrangler JL/JLU",,,"ironman Spare Tire Relocation Kit Suited for Jeep Wrangler JL/JLU",,36411,To verify,
