Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Tesla Style Android Screen For Ford Endeavour Including 360 Camera",,,"Tesla Style Android Screen For Ford Endeavour Including 360 Camera",,117800,To verify,
"Tesla Style Android Screen For Ford Endeavour Including 360 Camera",,,"Tesla Style Android Screen For Ford Endeavour Including 360 Camera",,117800,To verify,
"Thar Carbon Fiber Steering Wheel",,,"Thar Carbon Fiber Steering Wheel",,49796,To verify,
"Thar Carbon Fiber Steering Wheel",,,"Thar Carbon Fiber Steering Wheel",,49796,To verify,
"Toyota GR Carbon Fiber Steering Wheel",,,"Toyota GR Carbon Fiber Steering Wheel",,70400,To verify,
"Toyota GR Carbon Fiber Steering Wheel",,,"Toyota GR Carbon Fiber Steering Wheel",,70400,To verify,
"Toyota GR Original Carbon Fiber Steering Wheel | Perforated leather | Red -Line Color",,,"Toyota GR Original Carbon Fiber Steering Wheel | Perforated leather | Red -Line Color",,121600,To verify,
"Toyota GR Original Carbon Fiber Steering Wheel | Perforated leather | Red -Line Color",,,"Toyota GR Original Carbon Fiber Steering Wheel | Perforated leather | Red -Line Color",,121600,To verify,
"Toyota GR Sport Carbon Fiber Steering Wheel",,,"Toyota GR Sport Carbon Fiber Steering Wheel",,46800,To verify,
"Toyota GR Sport Carbon Fiber Steering Wheel",,,"Toyota GR Sport Carbon Fiber Steering Wheel",,46800,To verify,
"Toyota LC300 GR Steering Wheel with Paddle Shifters",,,"Toyota LC300 GR Steering Wheel with Paddle Shifters",,59950,To verify,
"Toyota LC300 GR Steering Wheel with Paddle Shifters",,,"Toyota LC300 GR Steering Wheel with Paddle Shifters",,59950,To verify,
"Toyota TRD Original Carbon Fiber Steering Wheel | Perforated leather",,,"Toyota TRD Original Carbon Fiber Steering Wheel | Perforated leather",,112000,To verify,
"Toyota TRD Original Carbon Fiber Steering Wheel | Perforated leather",,,"Toyota TRD Original Carbon Fiber Steering Wheel | Perforated leather",,112000,To verify,
"automatic metal pedal kit Volkswagen Polo",,,"automatic metal pedal kit Volkswagen Polo",,2200,To verify,
"automatic metal pedal kit Volkswagen Polo",,,"automatic metal pedal kit Volkswagen Polo",,2200,To verify,
