Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Proman Door Step Hinge for Mahindra Thar 2020+ (Set of 2 Pcs) type 1",,,"Proman Door Step Hinge for Mahindra Thar 2020+ (Set of 2 Pcs) type 1",,7790,To verify,
"Proman Door Step Hinge for Mahindra Thar 2020+ (Set of 2 Pcs) type 1",,,"Proman Door Step Hinge for Mahindra Thar 2020+ (Set of 2 Pcs) type 1",,7790,To verify,
"Reco traks green-pair",,,"Reco traks green-pair",,26701,To verify,
"Reco traks green-pair",,,"Reco traks green-pair",,26701,To verify,
"Rockslider Pro Series Metal Side Steps for Toyota Hilux",,,"Rockslider Pro Series Metal Side Steps for Toyota Hilux",,33290,To verify,
"Rockslider Pro Series Metal Side Steps for Toyota Hilux",,,"Rockslider Pro Series Metal Side Steps for Toyota Hilux",,33290,To verify,
"Towing Winch Soft Shackle",,,"Towing Winch Soft Shackle",,10750,To verify,
"Towing Winch Soft Shackle",,,"Towing Winch Soft Shackle",,10750,To verify,
"Toyota Fortuner 2017-20 Automatic Side Steps",,,"Toyota Fortuner 2017-20 Automatic Side Steps",,68000,To verify,
"Toyota Fortuner 2017-20 Automatic Side Steps",,,"Toyota Fortuner 2017-20 Automatic Side Steps",,68000,To verify,
"Toyota Fortuner 2021-2023 Automatic Side Steps",,,"Toyota Fortuner 2021-2023 Automatic Side Steps",,68000,To verify,
"Toyota Fortuner 2021-2023 Automatic Side Steps",,,"Toyota Fortuner 2021-2023 Automatic Side Steps",,68000,To verify,
"Toyota Hycross Automatic Side Steps",,,"Toyota Hycross Automatic Side Steps",,74240,To verify,
"Toyota Hycross Automatic Side Steps",,,"Toyota Hycross Automatic Side Steps",,74240,To verify,
"Trail Master X Front Facelift for Ford Endeavour 2016-2021",,,"Trail Master X Front Facelift for Ford Endeavour 2016-2021",,61440,To verify,
"Trail Master X Front Facelift for Ford Endeavour 2016-2021",,,"Trail Master X Front Facelift for Ford Endeavour 2016-2021",,61440,To verify,
"WARN VR EVO 12 and 12-S winch",,,"WARN VR EVO 12 and 12-S winch",,0,To verify,
"WARN VR EVO 12 and 12-S winch",,,"WARN VR EVO 12 and 12-S winch",,0,To verify,
"universal Neck Rest for cars",,,"universal Neck Rest for cars",,950,To verify,
"universal Neck Rest for cars",,,"universal Neck Rest for cars",,950,To verify,
