Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Fortuner type 2 headlight.",,,"Fortuner type 2 headlight.",,37999,To verify,
"Fortuner type 2 headlight.",,,"Fortuner type 2 headlight.",,37999,To verify,
"Golf style headlight for Volkswagen Polo",,,"Golf style headlight for Volkswagen Polo",,39500,To verify,
"Golf style headlight for Volkswagen Polo",,,"Golf style headlight for Volkswagen Polo",,39500,To verify,
"Hamer King series Plus bull bar for Isuzu D-Max ( 2021 – 2024 )",,,"Hamer King series Plus bull bar for Isuzu D-Max ( 2021 – 2024 )",,125000,To verify,
"Hamer King series Plus bull bar for Isuzu D-Max ( 2021 – 2024 )",,,"Hamer King series Plus bull bar for Isuzu D-Max ( 2021 – 2024 )",,125000,To verify,
"Hamer King series bull bar for Isuzu D-Max ( 2021 – 2024 )",,,"Hamer King series bull bar for Isuzu D-Max ( 2021 – 2024 )",,110000,To verify,
"Hamer King series bull bar for Isuzu D-Max ( 2021 – 2024 )",,,"Hamer King series bull bar for Isuzu D-Max ( 2021 – 2024 )",,110000,To verify,
"Head Light for BMW F20 LED 2015-2018",,,"Head Light for BMW F20 LED 2015-2018",,89998,To verify,
"Head Light for BMW F20 LED 2015-2018",,,"Head Light for BMW F20 LED 2015-2018",,89998,To verify,
"Headlight for  Bmw 3 Series F30 2012-2018",,,"Headlight for  Bmw 3 Series F30 2012-2018",,79998,To verify,
"Headlight for  Bmw 3 Series F30 2012-2018",,,"Headlight for  Bmw 3 Series F30 2012-2018",,79998,To verify,
"Helix Fog Lamps for Mahindra Scorpio N",,,"Helix Fog Lamps for Mahindra Scorpio N",,18290,To verify,
"Helix Fog Lamps for Mahindra Scorpio N",,,"Helix Fog Lamps for Mahindra Scorpio N",,18290,To verify,
"Honda City Tail Light Modified Lexus Style V2.0",,,"Honda City Tail Light Modified Lexus Style V2.0",,16800,To verify,
"Honda City Tail Light Modified Lexus Style V2.0",,,"Honda City Tail Light Modified Lexus Style V2.0",,16800,To verify,
"Hyundai i20 2020 Tail lights (Set of 5)",,,"Hyundai i20 2020 Tail lights (Set of 5)",,19575,To verify,
"Hyundai i20 2020 Tail lights (Set of 5)",,,"Hyundai i20 2020 Tail lights (Set of 5)",,19575,To verify,
"Innova Hycross LED Pillar Lights",,,"Innova Hycross LED Pillar Lights",,4950,To verify,
"Innova Hycross LED Pillar Lights",,,"Innova Hycross LED Pillar Lights",,4950,To verify,
"Innova Hycross Tail Lamp",,,"Innova Hycross Tail Lamp",,22400,To verify,
"Innova Hycross Tail Lamp",,,"Innova Hycross Tail Lamp",,22400,To verify,
"Ironman 4x4 20W Bright Cube LED Light – Spot Beam",,,"Ironman 4x4 20W Bright Cube LED Light – Spot Beam",,5085,To verify,
"Ironman 4x4 20W Bright Cube LED Light – Spot Beam",,,"Ironman 4x4 20W Bright Cube LED Light – Spot Beam",,5085,To verify,
"Ironman105W Bright Saber-X 20″Single Row LightBar",,,"Ironman105W Bright Saber-X 20″Single Row LightBar",,18267,To verify,
"Ironman105W Bright Saber-X 20″Single Row LightBar",,,"Ironman105W Bright Saber-X 20″Single Row LightBar",,18267,To verify,
"Isuzu D-max Tail Lights",,,"Isuzu D-max Tail Lights",,19200,To verify,
"Isuzu D-max Tail Lights",,,"Isuzu D-max Tail Lights",,19200,To verify,
"Kia Sonet Rear Dicky Light with Scanning and Matrix Indicator",,,"Kia Sonet Rear Dicky Light with Scanning and Matrix Indicator",,5440,To verify,
"Kia Sonet Rear Dicky Light with Scanning and Matrix Indicator",,,"Kia Sonet Rear Dicky Light with Scanning and Matrix Indicator",,5440,To verify,
"LC Style tail lights for fortuner type3, type 4 and legender",,,"LC Style tail lights for fortuner type3, type 4 and legender",,0,To verify,
"LC Style tail lights for fortuner type3, type 4 and legender",,,"LC Style tail lights for fortuner type3, type 4 and legender",,0,To verify,
"LED Roof Light Bar for Isuzu D-Max V-Cross",,,"LED Roof Light Bar for Isuzu D-Max V-Cross",,18990,To verify,
"LED Roof Light Bar for Isuzu D-Max V-Cross",,,"LED Roof Light Bar for Isuzu D-Max V-Cross",,18990,To verify,
"LED headlights for BMW F20 LED  2012-2015",,,"LED headlights for BMW F20 LED  2012-2015",,78999,To verify,
"LED headlights for BMW F20 LED  2012-2015",,,"LED headlights for BMW F20 LED  2012-2015",,78999,To verify,
"LIGHTFORCE 12V 100W Driving Light Bulb - GL02",,,"LIGHTFORCE 12V 100W Driving Light Bulb - GL02",,1450,To verify,
"LIGHTFORCE 12V 100W Driving Light Bulb - GL02",,,"LIGHTFORCE 12V 100W Driving Light Bulb - GL02",,1450,To verify,
"LIGHTFORCE ROK 40 Ultra Flood LED Utility Light",,,"LIGHTFORCE ROK 40 Ultra Flood LED Utility Light",,25000,To verify,
"LIGHTFORCE ROK 40 Ultra Flood LED Utility Light",,,"LIGHTFORCE ROK 40 Ultra Flood LED Utility Light",,25000,To verify,
"LIGHTFORCE Viper 30 Inch Single Row LED Light Bar",,,"LIGHTFORCE Viper 30 Inch Single Row LED Light Bar",,55000,To verify,
"LIGHTFORCE Viper 30 Inch Single Row LED Light Bar",,,"LIGHTFORCE Viper 30 Inch Single Row LED Light Bar",,55000,To verify,
"LIGHTFORCE Viper 50 Inch Dual Row LED Light Bar",,,"LIGHTFORCE Viper 50 Inch Dual Row LED Light Bar",,112500,To verify,
"LIGHTFORCE Viper 50 Inch Dual Row LED Light Bar",,,"LIGHTFORCE Viper 50 Inch Dual Row LED Light Bar",,112500,To verify,
"Lance 140mm Halogen/HID Crystal Blue Filter (1 piece)",,,"Lance 140mm Halogen/HID Crystal Blue Filter (1 piece)",,2250,To verify,
"Lance 140mm Halogen/HID Crystal Blue Filter (1 piece)",,,"Lance 140mm Halogen/HID Crystal Blue Filter (1 piece)",,2250,To verify,
"Land Rover Defender 2023 Heavy Duty Roof light",,,"Land Rover Defender 2023 Heavy Duty Roof light",,87040,To verify,
"Land Rover Defender 2023 Heavy Duty Roof light",,,"Land Rover Defender 2023 Heavy Duty Roof light",,87040,To verify,
"Lexus type headlight for fortuner 2012",,,"Lexus type headlight for fortuner 2012",,48700,To verify,
"Lexus type headlight for fortuner 2012",,,"Lexus type headlight for fortuner 2012",,48700,To verify,
"Light force 240 mm Black filter  (1piece)",,,"Light force 240 mm Black filter  (1piece)",,2800,To verify,
"Light force 240 mm Black filter  (1piece)",,,"Light force 240 mm Black filter  (1piece)",,2800,To verify,
"LightForce Beast LED Driving Light",,,"LightForce Beast LED Driving Light",,93500,To verify,
"LightForce Beast LED Driving Light",,,"LightForce Beast LED Driving Light",,93500,To verify,
"LightForce Venom Professional Edition LED Driving Light",,,"LightForce Venom Professional Edition LED Driving Light",,59190,To verify,
"LightForce Venom Professional Edition LED Driving Light",,,"LightForce Venom Professional Edition LED Driving Light",,59190,To verify,
"Lightforce Genesis Professional Edition LED Driving Lights",,,"Lightforce Genesis Professional Edition LED Driving Lights",,89990,To verify,
"Lightforce Genesis Professional Edition LED Driving Lights",,,"Lightforce Genesis Professional Edition LED Driving Lights",,89990,To verify,
"Lightforce RMDL140HT High Mount Driving Light Twin Pack - LANCE 140 HALOGEN",,,"Lightforce RMDL140HT High Mount Driving Light Twin Pack - LANCE 140 HALOGEN",,21000,To verify,
"Lightforce RMDL140HT High Mount Driving Light Twin Pack - LANCE 140 HALOGEN",,,"Lightforce RMDL140HT High Mount Driving Light Twin Pack - LANCE 140 HALOGEN",,21000,To verify,
"Lightforce Spotlight Blitz 240 Handheld Light",,,"Lightforce Spotlight Blitz 240 Handheld Light",,15000,To verify,
"Lightforce Spotlight Blitz 240 Handheld Light",,,"Lightforce Spotlight Blitz 240 Handheld Light",,15000,To verify,
"Lightforce Striker 170mm Handheld  Light",,,"Lightforce Striker 170mm Handheld  Light",,14000,To verify,
"Lightforce Striker 170mm Handheld  Light",,,"Lightforce Striker 170mm Handheld  Light",,14000,To verify,
"Mahindra Thar 2020+ Cross Scanning Function Tail Lamps",,,"Mahindra Thar 2020+ Cross Scanning Function Tail Lamps",,8638,To verify,
"Mahindra Thar 2020+ Cross Scanning Function Tail Lamps",,,"Mahindra Thar 2020+ Cross Scanning Function Tail Lamps",,8638,To verify,
