Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Hamer Titanium Roll Bar for Isuzu",,,"Hamer Titanium Roll Bar for Isuzu",,37490,To verify,
"Hamer Titanium Roll Bar for Isuzu",,,"Hamer Titanium Roll Bar for Isuzu",,37490,To verify,
"Hamer Warrior Plus Roll bar for Hilux",,,"Hamer Warrior Plus Roll bar for Hilux",,144000,To verify,
"Hamer Warrior Plus Roll bar for Hilux",,,"Hamer Warrior Plus Roll bar for Hilux",,144000,To verify,
"Land Rover Defender 110 (2020+) Side Steps",,,"Land Rover Defender 110 (2020+) Side Steps",,43520,To verify,
"Land Rover Defender 110 (2020+) Side Steps",,,"Land Rover Defender 110 (2020+) Side Steps",,43520,To verify,
"Land Rover Defender 2023 Stepney Cover",,,"Land Rover Defender 2023 Stepney Cover",,16000,To verify,
"Land Rover Defender 2023 Stepney Cover",,,"Land Rover Defender 2023 Stepney Cover",,16000,To verify,
"Land Rover Defender Roof Rails",,,"Land Rover Defender Roof Rails",,29999,To verify,
"Land Rover Defender Roof Rails",,,"Land Rover Defender Roof Rails",,29999,To verify,
"Land Rover Defender Side Storage Box",,,"Land Rover Defender Side Storage Box",,33280,To verify,
"Land Rover Defender Side Storage Box",,,"Land Rover Defender Side Storage Box",,33280,To verify,
"M.A.R.K Sports Universal Cross bar and Roof box COMBO",,,"M.A.R.K Sports Universal Cross bar and Roof box COMBO",,0,To verify,
"M.A.R.K Sports Universal Cross bar and Roof box COMBO",,,"M.A.R.K Sports Universal Cross bar and Roof box COMBO",,0,To verify,
"Mahindra Thar 2020 Overhead Storage Net",,,"Mahindra Thar 2020 Overhead Storage Net",,1800,To verify,
"Mahindra Thar 2020 Overhead Storage Net",,,"Mahindra Thar 2020 Overhead Storage Net",,1800,To verify,
"Mahindra Thar 2020 Roll Bar Cage Storage Bag",,,"Mahindra Thar 2020 Roll Bar Cage Storage Bag",,0,To verify,
"Mahindra Thar 2020 Roll Bar Cage Storage Bag",,,"Mahindra Thar 2020 Roll Bar Cage Storage Bag",,0,To verify,
"Mahindra Thar 2020 Waterproof Canvas Seat Cover",,,"Mahindra Thar 2020 Waterproof Canvas Seat Cover",,0,To verify,
