Live Site Product Name,Live Site SKU,Live Site Price,Local Product Name,Local SKU,Local Price,Match Status,Notes
"Ironman Foam Cell Shock Absorbers for Mitsubishi Pajero SFX - 2 Inch Lift",,,"Ironman Foam Cell Shock Absorbers for Mitsubishi Pajero SFX - 2 Inch Lift",,157518,To verify,
"Ironman IM 2.5 Monotube Suspension  for Isuzu D-Max 2019+",,,"Ironman IM 2.5 Monotube Suspension  for Isuzu D-Max 2019+",,365000,To verify,
"Ironman IM 2.5 Monotube Suspension  for Isuzu D-Max 2019+",,,"Ironman IM 2.5 Monotube Suspension  for Isuzu D-Max 2019+",,365000,To verify,
"Ironman Nitro Gas Suspension kit for Mahindra Thar",,,"Ironman Nitro Gas Suspension kit for Mahindra Thar",,115700,To verify,
"Ironman Nitro Gas Suspension kit for Mahindra Thar",,,"Ironman Nitro Gas Suspension kit for Mahindra Thar",,115700,To verify,
"Ironman NitroGas Suspension-Toyota Hilux",,,"Ironman NitroGas Suspension-Toyota Hilux",,224500,To verify,
"Ironman NitroGas Suspension-Toyota Hilux",,,"Ironman NitroGas Suspension-Toyota Hilux",,224500,To verify,
"Profender 2 Inch Lift Kit For Hilux",,,"Profender 2 Inch Lift Kit For Hilux",,185600,To verify,
"Profender 2 Inch Lift Kit For Hilux",,,"Profender 2 Inch Lift Kit For Hilux",,185600,To verify,
"Profender Heavy Duty Upper Control Arm",,,"Profender Heavy Duty Upper Control Arm",,43700,To verify,
"Profender Heavy Duty Upper Control Arm",,,"Profender Heavy Duty Upper Control Arm",,43700,To verify,
"Profender King Series Full Kit Suspension With 2.0 Body Rear Shock For Toyota Hilux",,,"Profender King Series Full Kit Suspension With 2.0 Body Rear Shock For Toyota Hilux",,260000,To verify,
"Profender King Series Full Kit Suspension With 2.0 Body Rear Shock For Toyota Hilux",,,"Profender King Series Full Kit Suspension With 2.0 Body Rear Shock For Toyota Hilux",,260000,To verify,
"Profender King Series Suspension-Ford Endeavour/ Toyota Hilux/ fortuner",,,"Profender King Series Suspension-Ford Endeavour/ Toyota Hilux/ fortuner",,0,To verify,
